2019-09-17 16:32:47 | [main] | TRACE cube.observer.CubeObserver | (CubeObserver.java:16) - Event, cube : Cube{cube Id=1, cubeEdge=7.0, cubePoints={DOWN_RIGHT_2=Point{id=-1930100732, x=2.8, y=8.3, z=4.2}, TOP_RIGHT_1=Point{id=1071120385, x=2.8, y=1.3, z=11.2}, DOWN_RIGHT_1=Point{id=-1502347262, x=2.8, y=1.3, z=4.2}, TOP_LEFT_2=Point{id=215285764, x=-4.2, y=8.3, z=11.2}, DOWN_LEFT_2=Point{id=1936785413, x=-4.2, y=8.3, z=4.2}, DOWN_LEFT_1=Point{id=-1930428413, x=-4.2, y=1.3, z=4.2}, TOP_RIGHT_2=Point{id=643366915, x=2.8, y=8.3, z=11.2}, TOP_LEFT_1=Point{id=643039234, x=-4.2, y=1.3, z=11.2}}, observers=[by.epamgroup.cube.observer.CubeObserver@2320fa6f]}
2019-09-17 16:32:47 | [main] | INFO  cube.handler.CubeHandler | (CubeHandler.java:25) - Calculate Surface Area of Cube 1, area = 294,000000
2019-09-17 16:32:47 | [main] | INFO  cube.handler.CubeHandler | (CubeHandler.java:33) - Calculate Volume of Cube 1, volume = 343,000000
2019-09-17 16:32:47 | [main] | INFO  cube.handler.CubeHandler | (CubeHandler.java:42) - Calculate Section By CoordinatePlane Cube id = 1, plane = X
2019-09-17 16:32:47 | [main] | INFO  cube.handler.CubeHandler | (CubeHandler.java:59) - Cube not cut by plane.
2019-09-17 16:32:47 | [main] | INFO  cube.handler.CubeHandler | (CubeHandler.java:42) - Calculate Section By CoordinatePlane Cube id = 1, plane = Y
2019-09-17 16:32:47 | [main] | INFO  cube.handler.CubeHandler | (CubeHandler.java:66) - Calculate ratio = 1,500000
2019-09-17 16:32:47 | [main] | TRACE cube.observer.CubeObserver | (CubeObserver.java:32) - Event handel, warehouse : CubeWarehouse{surfaceArea=294.0, volume=343.0, section={Y=1.5, X=0.0}}
2019-09-17 16:32:47 | [main] | INFO  cube.shape.Cube | (Cube.java:28) - Create : Cube{cube Id=1, cubeEdge=7.0, cubePoints={DOWN_RIGHT_2=Point{id=-1930100732, x=2.8, y=8.3, z=4.2}, TOP_RIGHT_1=Point{id=1071120385, x=2.8, y=1.3, z=11.2}, DOWN_RIGHT_1=Point{id=-1502347262, x=2.8, y=1.3, z=4.2}, TOP_LEFT_2=Point{id=215285764, x=-4.2, y=8.3, z=11.2}, DOWN_LEFT_2=Point{id=1936785413, x=-4.2, y=8.3, z=4.2}, DOWN_LEFT_1=Point{id=-1930428413, x=-4.2, y=1.3, z=4.2}, TOP_RIGHT_2=Point{id=643366915, x=2.8, y=8.3, z=11.2}, TOP_LEFT_1=Point{id=643039234, x=-4.2, y=1.3, z=11.2}}, observers=[by.epamgroup.cube.observer.CubeObserver@2320fa6f]}
2019-09-17 16:32:47 | [main] | TRACE cube.observer.CubeObserver | (CubeObserver.java:16) - Event, cube : Cube{cube Id=2, cubeEdge=7.0, cubePoints={DOWN_RIGHT_2=Point{id=-1930100732, x=2.8, y=8.3, z=4.2}, TOP_RIGHT_1=Point{id=1071120385, x=2.8, y=1.3, z=11.2}, DOWN_RIGHT_1=Point{id=-1502347262, x=2.8, y=1.3, z=4.2}, TOP_LEFT_2=Point{id=215285764, x=-4.2, y=8.3, z=11.2}, DOWN_LEFT_2=Point{id=1936785413, x=-4.2, y=8.3, z=4.2}, DOWN_LEFT_1=Point{id=-1930428413, x=-4.2, y=1.3, z=4.2}, TOP_RIGHT_2=Point{id=643366915, x=2.8, y=8.3, z=11.2}, TOP_LEFT_1=Point{id=643039234, x=-4.2, y=1.3, z=11.2}}, observers=[by.epamgroup.cube.observer.CubeObserver@23d1e5d0]}
2019-09-17 16:32:47 | [main] | INFO  cube.handler.CubeHandler | (CubeHandler.java:25) - Calculate Surface Area of Cube 2, area = 294,000000
2019-09-17 16:32:47 | [main] | INFO  cube.handler.CubeHandler | (CubeHandler.java:33) - Calculate Volume of Cube 2, volume = 343,000000
2019-09-17 16:32:47 | [main] | INFO  cube.handler.CubeHandler | (CubeHandler.java:42) - Calculate Section By CoordinatePlane Cube id = 2, plane = X
2019-09-17 16:32:47 | [main] | INFO  cube.handler.CubeHandler | (CubeHandler.java:59) - Cube not cut by plane.
2019-09-17 16:32:47 | [main] | INFO  cube.handler.CubeHandler | (CubeHandler.java:42) - Calculate Section By CoordinatePlane Cube id = 2, plane = Y
2019-09-17 16:32:47 | [main] | INFO  cube.handler.CubeHandler | (CubeHandler.java:66) - Calculate ratio = 1,500000
2019-09-17 16:32:47 | [main] | TRACE cube.observer.CubeObserver | (CubeObserver.java:32) - Event handel, warehouse : CubeWarehouse{surfaceArea=294.0, volume=343.0, section={Y=1.5, X=0.0}}
2019-09-17 16:32:47 | [main] | INFO  cube.shape.Cube | (Cube.java:28) - Create : Cube{cube Id=2, cubeEdge=7.0, cubePoints={DOWN_RIGHT_2=Point{id=-1930100732, x=2.8, y=8.3, z=4.2}, TOP_RIGHT_1=Point{id=1071120385, x=2.8, y=1.3, z=11.2}, DOWN_RIGHT_1=Point{id=-1502347262, x=2.8, y=1.3, z=4.2}, TOP_LEFT_2=Point{id=215285764, x=-4.2, y=8.3, z=11.2}, DOWN_LEFT_2=Point{id=1936785413, x=-4.2, y=8.3, z=4.2}, DOWN_LEFT_1=Point{id=-1930428413, x=-4.2, y=1.3, z=4.2}, TOP_RIGHT_2=Point{id=643366915, x=2.8, y=8.3, z=11.2}, TOP_LEFT_1=Point{id=643039234, x=-4.2, y=1.3, z=11.2}}, observers=[by.epamgroup.cube.observer.CubeObserver@23d1e5d0]}
2019-09-17 16:32:47 | [main] | TRACE cube.observer.CubeObserver | (CubeObserver.java:16) - Event, cube : Cube{cube Id=2, cubeEdge=7.0, cubePoints={DOWN_RIGHT_2=Point{id=1508966403, x=41.2, y=3.0, z=3.5}, TOP_RIGHT_1=Point{id=-636354557, x=41.2, y=-4.0, z=10.5}, DOWN_RIGHT_1=Point{id=-637992957, x=41.2, y=-4.0, z=3.5}, TOP_LEFT_2=Point{id=1510309891, x=34.2, y=3.0, z=10.5}, DOWN_LEFT_2=Point{id=1508671491, x=34.2, y=3.0, z=3.5}, DOWN_LEFT_1=Point{id=-638287869, x=34.2, y=-4.0, z=3.5}, TOP_RIGHT_2=Point{id=1510604803, x=41.2, y=3.0, z=10.5}, TOP_LEFT_1=Point{id=-636649469, x=34.2, y=-4.0, z=10.5}}, observers=[by.epamgroup.cube.observer.CubeObserver@23d1e5d0]}
2019-09-17 16:32:48 | [main] | INFO  cube.handler.CubeHandler | (CubeHandler.java:25) - Calculate Surface Area of Cube 2, area = 294,000000
2019-09-17 16:32:48 | [main] | INFO  cube.handler.CubeHandler | (CubeHandler.java:33) - Calculate Volume of Cube 2, volume = 343,000000
2019-09-17 16:32:48 | [main] | INFO  cube.handler.CubeHandler | (CubeHandler.java:42) - Calculate Section By CoordinatePlane Cube id = 2, plane = X
2019-09-17 16:32:48 | [main] | INFO  cube.handler.CubeHandler | (CubeHandler.java:66) - Calculate ratio = 1,333330
2019-09-17 16:32:48 | [main] | INFO  cube.handler.CubeHandler | (CubeHandler.java:42) - Calculate Section By CoordinatePlane Cube id = 2, plane = Y
2019-09-17 16:32:48 | [main] | INFO  cube.handler.CubeHandler | (CubeHandler.java:59) - Cube not cut by plane.
